atmosphere	place	no-ana	note	P1_C1_lg12	atmosphere	place	no-ana
atmosphere	place	no-ana	note	P1_C1_lg12	Volcanos	place	no-ana
Volcanos	place	no-ana	note	P1_C1_lg12	Andes_mts	place	no-ana
Volcanos	place	no-ana	note	P1_C1_lg12	Earth_planet_crust	place	no-ana
Volcanos	place	no-ana	note	P1_C1_lg12	atmosphere	place	no-ana
Volcanos	place	no-ana	note	P1_C1_lg12	Volcanos	place	no-ana
Etna	place	no-ana	main	P1_C1_lg13	Etna	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg14	Earth_planet	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg14	Memnon	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg14	Andes_mts	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg14	Quito	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Earth_planet	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Memnon	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Andes_mts	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Quito	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
Bologna	place	no-ana	main	P1_C1_lg14	Earth_planet	place	no-ana
Bologna	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
Bologna	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
Bologna	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
Bologna	place	no-ana	main	P1_C1_lg14	Memnon	place	no-ana
Bologna	place	no-ana	main	P1_C1_lg14	Andes_mts	place	no-ana
Bologna	place	no-ana	main	P1_C1_lg14	Quito	place	no-ana
Bologna	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Earth_planet	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Memnon	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Andes_mts	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Quito	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
Memnon	place	no-ana	main	P1_C1_lg14	Earth_planet	place	no-ana
Memnon	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
Memnon	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
Memnon	place	no-ana	main	P1_C1_lg14	the_Sun	place	no-ana
Memnon	place	no-ana	main	P1_C1_lg14	Memnon	place	no-ana
Memnon	place	no-ana	main	P1_C1_lg14	Andes_mts	place	no-ana
Memnon	place	no-ana	main	P1_C1_lg14	Quito	place	no-ana
Memnon	place	no-ana	main	P1_C1_lg14	Bologna	place	no-ana
Andes_mts	place	no-ana	note	P1_C1_lg14	Earth_planet	place	no-ana
Andes_mts	place	no-ana	note	P1_C1_lg14	the_Sun	place	no-ana
Andes_mts	place	no-ana	note	P1_C1_lg14	Bologna	place	no-ana
Andes_mts	place	no-ana	note	P1_C1_lg14	the_Sun	place	no-ana
Andes_mts	place	no-ana	note	P1_C1_lg14	Memnon	place	no-ana
