"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column 2","Column 6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"68010","2.984","0.0","0.33512064","1.0","place","place","6","6","false","Dunne","12.5","6","0","0","0.66933333","false","0","Dunne","0","0.32894737"
"68011","2.984","0.0","0.33512064","1.0","place","place","6","6","false","Ulster","12.5","6","0","0","0.66933333","false","0","Ulster","0","0.32894737"
"68012","2.984","0.0","0.33512064","1.0","place","place","6","6","false","Couffah","12.5","6","0","0","0.66933333","false","0","Couffah","0","0.32894737"
"68013","2.984","0.0","0.33512064","1.0","place","place","6","6","false","Molucca Islands","12.5","6","0","0","0.66933333","false","0","Molucca Islands","0","0.32894737"
"68014","2.984","0.0","0.33512064","1.0","metaplace","metaplace","6","6","false","burning_grave","12.5","6","0","0","0.66933333","false","0","burning_grave","0","0.32894737"
"68015","2.616","0.0","0.382263","1.0","place","place","18","5","false","Mount_Ararat","21.25","18","0","8","0.73066667","false","2","Mount_Ararat","0","0.2125"
"68016","2.616","0.0","0.382263","1.0","metaplace","metaplace","9","5","false","fore-world","21.25","9","0","1","0.73066667","false","0","fore-world","0","0.2125"
"68017","2.616","0.0","0.382263","1.0","place","place","9","5","false","Lubar","21.25","9","0","1","0.73066667","false","0","Lubar","0","0.2125"
"68018","2.616","0.0","0.382263","1.0","place","place","9","5","false","Abbey of St. Gregorie's Monks","21.25","9","0","1","0.73066667","false","0","Abbey of St. Gregorie's Monks","0","0.2125"
"68019","2.616","0.0","0.382263","1.0","place","place","9","5","false","Helicon","21.25","9","0","1","0.73066667","false","0","Helicon","0","0.2125"
"68020","2.616","0.0","0.382263","1.0","place","place","9","5","false","Psylli","21.25","9","0","1","0.73066667","false","0","Psylli","0","0.2125"
"68021","2.8","0.0","0.35714286","1.0","place","place","8","6","false","cave","36.66666667","8","0","2","0.7","false","0","cave","0","0.4954955"
"68022","2.8","0.0","0.35714286","1.0","metaplace","metaplace","40","6","false","Khawla_breath","36.66666667","40","0","3","0.7","false","20","Khawla_breath","0","0.4954955"
"68023","2.592","0.0","0.38580247","1.0","place","place","9","5","false","Ardevil","27.6","9","0","1","0.73466667","false","0","Ardevil","0","0.26285714"
"68024","2.592","0.0","0.38580247","1.0","place","place","9","5","false","city of Kom","27.6","9","0","1","0.73466667","false","0","city of Kom","0","0.26285714"
"68025","2.552","7.4923E-4","0.39184953","0.73333333","metaplace","metaplace","13","5","false","to_next_world","25.66666667","13","0","1","0.74133333","false","0","to_next_world","282","0.2251462"
"68026","2.372","0.0","0.42158516","1.0","place","place","16","5","false","Mohareb_City","29.54545455","16","0","5","0.77133333","false","0","Mohareb_City","0","0.18818761"
"68027","2.372","0.0","0.42158516","1.0","place","place","32","5","false","Ragusa","29.54545455","32","0","11","0.77133333","false","2","Ragusa","0","0.18818761"
"68028","2.372","0.0","0.42158516","1.0","place","place","30","5","false","Constantinople","29.54545455","30","0","11","0.77133333","false","0","Constantinople","0","0.18818761"
"68029","2.372","0.0","0.42158516","1.0","place","place","16","5","false","Islands of Barlovento","29.54545455","16","0","5","0.77133333","false","0","Islands of Barlovento","0","0.18818761"
